"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1919",-0.0988923857932848,-2.23998891190372,0.0606106965984697,0.0979263948477231,100,"Simulation 3",1,100,0.489999,0.182903885724528,0.48765,0.4969175,0.16960944,0.0033,0.9464,0.9431,-0.276666712552795,0.298964513869373,0.0182903885724528
"X1920",-0.00980138748915804,-2.3590691425279,0.0426945473531943,0.0624564152505216,100,"Simulation 3",1,100,0.52088,0.219941302546058,0.5182,0.52166625,0.25441416,0.0073,0.958,0.9507,-0.0189283266828658,-0.735018434685273,0.0219941302546058
"X1921",0.12004810752892,-2.36283377200988,0.0532499489409119,0.084950277370275,100,"Simulation 3",1,100,0.511731,0.198420206436296,0.51035,0.51430875,0.20348685,0.0326,0.9897,0.9571,-0.0566346614889581,-0.199687479408391,0.0198420206436296
"X1922",0.0264602232861932,-2.59045129975439,0.0419502096493248,0.0733903007946443,100,"Simulation 3",1,100,0.507193,0.193733117090434,0.53405,0.51086625,0.17902395,0.0215,0.9554,0.9339,-0.221447138034366,-0.406438919598609,0.0193733117090434
"X1923",-0.0316028892997112,-2.53061640221483,0.0354600988758249,0.0593937845044687,100,"Simulation 3",1,100,0.470205,0.202585093918032,0.45165,0.464315,0.18725238,0.0615,0.9712,0.9097,0.281282051737138,-0.576102343058579,0.0202585093918032
"X1924",-0.0214093805700931,-1.94591194203876,0.0592056402634044,0.0819924097672397,100,"Simulation 3",1,100,0.526342,0.199438970275737,0.5295,0.52641125,0.16946118,2e-04,0.9937,0.9935,-0.0942719994921298,0.0238853077178995,0.0199438970275737
"X1925",-0.052522842051006,-2.70446249641267,0.0458365936337745,0.0772634782411319,100,"Simulation 3",1,100,0.49846,0.197148620552766,0.51155,0.49642625,0.20126295,0.0202,0.933,0.9128,-0.0164893847049343,-0.41332838050767,0.0197148620552766
"X1926",0.0820196747678231,-2.43596317688489,0.0481458557899798,0.0831686042603793,100,"Simulation 3",1,100,0.498938,0.189507452895738,0.4762,0.49292625,0.19473951,0.0182,0.9642,0.946,0.269019678890078,-0.148833378297893,0.0189507452895738
"X1927",-0.118768974314037,-2.49982171663704,0.0467654820058516,0.0868835466996208,100,"Simulation 3",1,100,0.466246,0.175965348069477,0.4578,0.46666875,0.17161095,0.0365,0.9722,0.9357,0.0152349071736804,0.025807500250103,0.0175965348069477
"X1928",0.0269377767051846,-2.20591804681514,0.0532002536020563,0.0817521494994571,100,"Simulation 3",1,100,0.533263,0.196114953228452,0.53975,0.53475375,0.20341272,0.0275,0.9982,0.9707,-0.0710908967139617,-0.259939373362438,0.0196114953228452
"X1929",0.0314277706738421,-2.6898508697658,0.0516519531247483,0.0996218824200196,100,"Simulation 3",1,100,0.516684,0.174152384056973,0.50885,0.51493125,0.13202553,0.0972,0.9569,0.8597,0.0832376210311157,0.286202638234267,0.0174152384056973
"X1930",0.0196277400247455,-2.36143404508501,0.052963358822451,0.0869465512316975,100,"Simulation 3",1,100,0.487723,0.192666298025756,0.483,0.48285625,0.13891962,0.0092,0.9648,0.9556,0.230936569374392,0.169349053500769,0.0192666298025756
"X1931",-0.052848189884892,-2.47450708491465,0.0565052158307221,0.0950704898379927,100,"Simulation 3",1,100,0.467606,0.185918477746771,0.47,0.46583625,0.16923879,0.0064,0.9543,0.9479,0.0687406120427779,0.148970711340087,0.0185918477746771
"X1932",-0.0513707892929025,-2.18198600156973,0.044788938003167,0.0693269359089357,100,"Simulation 3",1,100,0.497471,0.206332532085878,0.5106,0.50363625,0.19674102,0.0177,0.9358,0.9181,-0.220632510881358,-0.266977009033656,0.0206332532085878
"X1933",-0.12792347329375,-2.63445337450019,0.0544595247810106,0.0951175317252516,100,"Simulation 3",1,100,0.466773,0.185720837456804,0.46355,0.46745625,0.19251561,0.0205,0.9405,0.92,0.0136170942471382,-0.0445209109586799,0.0185720837456804
"X1934",0.0201977318701587,-2.54378668027292,0.0364934368024562,0.0657496039140684,100,"Simulation 3",1,100,0.505088,0.19150054370258,0.511,0.49998625,0.20244903,0.0378,0.9533,0.9155,0.133744830304841,-0.561867846852628,0.019150054370258
"X1935",0.0303929792411869,-2.18470528964799,0.0535760446018645,0.076742171277247,100,"Simulation 3",1,100,0.529738,0.211602049206247,0.54385,0.5317025,0.2550072,0.0082,0.9948,0.9866,-0.0718375346975751,-0.477113371265997,0.0211602049206247
"X1936",-0.0392940089447789,-2.58467026775377,0.0411384236444035,0.0710540436286593,100,"Simulation 3",1,100,0.492186,0.196907151898266,0.51375,0.49845,0.18072894,0.0428,0.9324,0.8896,-0.284260274404115,-0.443604417049342,0.0196907151898266
"X1937",0.0582721501957621,-2.55802324311346,0.0441600336751094,0.0812479437606373,100,"Simulation 3",1,100,0.507043,0.18505133726956,0.51835,0.5088625,0.18488022,0.0271,0.9441,0.917,-0.169296150856619,-0.275180776802935,0.018505133726956
"X1938",-0.0327250923923746,-2.49510518385403,0.0431894405016612,0.0728531200241682,100,"Simulation 3",1,100,0.49899,0.1962596983385,0.50145,0.5056925,0.20430228,0.0187,0.8709,0.8522,-0.280555400659033,-0.467327471111457,0.01962596983385
