"","intercept","slope","seint","seslope","scrubbedn","simulation"
"2611",-5.148339e-05,-1.4923,0.00652807,0.005121163,80,"Simulation 4"
"2612",-5.222527e-07,-1.58454,0.01167816,0.01021961,68,"Simulation 4"
"2613",-1.450718e-05,-1.575678,0.01083744,0.00918262,72,"Simulation 4"
"2614",1.084468e-05,-1.488149,0.006327128,0.00497657,78,"Simulation 4"
"2615",2.04699e-05,-1.622894,0.0111565,0.009606974,70,"Simulation 4"
"2616",5.8081e-05,-1.615045,0.008812041,0.007652449,70,"Simulation 4"
"2617",-3.023397e-06,-1.835942,0.01652442,0.01517847,64,"Simulation 4"
"2618",5.568499e-05,-1.677635,0.01467524,0.01342402,64,"Simulation 4"
"2619",0.005076185,-1.965665,0.01821727,0.02062914,50,"Simulation 4"
"2620",-3.064977e-06,-1.608968,0.009715058,0.008529127,68,"Simulation 4"
"2621",-2.313143e-05,-1.604987,0.008068441,0.007172389,66,"Simulation 4"
"2622",-1.328727e-05,-1.622224,0.008823929,0.007723168,68,"Simulation 4"
"2623",-0.002679415,-1.844754,0.01561774,0.01439537,62,"Simulation 4"
"2624",0.01181099,-1.604394,0.005786778,0.005153286,64,"Simulation 4"
"2625",-7.471389e-05,-1.608331,0.008944132,0.00786476,68,"Simulation 4"
"2626",1.097039e-05,-1.597955,0.009062093,0.007906351,68,"Simulation 4"
"2627",-8.624657e-05,-1.506756,0.00543784,0.004659914,70,"Simulation 4"
"2628",-2.891288e-05,-1.584131,0.01251482,0.01068018,72,"Simulation 4"
"2629",1.655394e-05,-1.58782,0.0111932,0.009636518,70,"Simulation 4"
"2630",1.445968e-05,-1.584134,0.009780667,0.008477515,68,"Simulation 4"
"2631",-4.643352e-05,-1.585909,0.01017666,0.00874329,70,"Simulation 4"
"2632",-5.463452e-05,-1.467036,0.008506782,0.006797163,76,"Simulation 4"
"2633",2.679445e-05,-1.600512,0.009028617,0.007857587,68,"Simulation 4"
"2634",0.002464378,-2.008948,0.01984944,0.02270101,50,"Simulation 4"
"2635",9.398786e-07,-1.949203,0.01212956,0.01382894,50,"Simulation 4"
"2636",0.002492964,-1.58683,0.009199548,0.008023402,68,"Simulation 4"
"2637",0.001988597,-1.790011,0.01259665,0.01149518,64,"Simulation 4"
"2638",5.291109e-05,-1.582134,0.009922128,0.008804217,66,"Simulation 4"
"2639",0.001115082,-1.631162,0.007976578,0.006821065,72,"Simulation 4"
"2640",-8.261634e-05,-1.611045,0.009201538,0.008097831,68,"Simulation 4"
"2641",-5.744436e-05,-1.588667,0.009181752,0.008133966,66,"Simulation 4"
"2642",-0.0011088,-1.788909,0.01189664,0.01066514,66,"Simulation 4"
"2643",-0.0001186233,-1.585416,0.009567268,0.008211044,70,"Simulation 4"
"2644",2.00788e-05,-1.596463,0.009270687,0.008106724,68,"Simulation 4"
"2645",3.076713e-06,-1.5894,0.01094172,0.009407462,70,"Simulation 4"
"2646",7.861319e-06,-1.593394,0.00883984,0.007638596,70,"Simulation 4"
"2647",2.908431e-05,-1.495582,0.005898947,0.004713773,76,"Simulation 4"
"2648",3.376959e-06,-1.815169,0.01427713,0.01277703,66,"Simulation 4"
"2649",2.309372e-05,-1.607977,0.008413639,0.007220964,70,"Simulation 4"
"2650",1.587197e-05,-1.601522,0.0107305,0.00922074,70,"Simulation 4"
"2651",-2.5145e-05,-1.609743,0.008553952,0.007361881,70,"Simulation 4"
