"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X112",-0.0363074836357234,-2.68163298617789,0.0465019096448072,0.0884223815318144,100,"Simulation 3",1,100,0.485606,0.176837762672656,0.4728,0.4876075,0.18028416,0.0311,0.8821,0.851,-0.159043467671157,-0.062515302970926,0.0176837762672656
"X113",0.006578372809455,-2.49889831876305,0.0450077114618786,0.0734807808812529,100,"Simulation 3",1,100,0.509077,0.200288983572248,0.50335,0.512985,0.18450957,0.0266,0.9601,0.9335,-0.166419644379721,-0.210001594866644,0.0200288983572248
"X114",-0.0209179455904517,-2.38176349330733,0.053005055507477,0.089930153837747,100,"Simulation 3",1,100,0.46963,0.184644951408935,0.4758,0.474025,0.17820852,0.0187,0.9502,0.9315,-0.181083979532169,-0.0267388276427725,0.0184644951408935
"X115",-0.0664334207584754,-2.04809302864793,0.0472617614566077,0.0694040454938609,100,"Simulation 3",1,100,0.456597,0.199533193337435,0.45915,0.45282625,0.15144759,0.0067,0.9905,0.9838,0.232813439213877,0.17320624396348,0.0199533193337435
"X116",-0.0292995582724453,-2.61559572015809,0.0421212040933854,0.0693725838110486,100,"Simulation 3",1,100,0.484673,0.20229230119365,0.48795,0.48892,0.23543688,0.0206,0.9175,0.8969,-0.172305423461228,-0.676694011797662,0.020229230119365
"X117",-0.0238165040851156,-2.60315299649704,0.0493323135028871,0.0822982857990549,100,"Simulation 3",1,100,0.507482,0.197521959592376,0.4908,0.50622875,0.18932802,0.0171,0.9334,0.9163,0.0502018171152129,-0.289243701443227,0.0197521959592376
"X118",0.136225173729757,-2.62775161494282,0.0335945612830464,0.0600365389938204,100,"Simulation 3",1,100,0.532463,0.191940475124214,0.524,0.5301975,0.20645205,0.0995,0.9507,0.8512,0.0925100342925979,-0.698267951519381,0.0191940475124214
"X119",0.106711650927338,-2.23338052958411,0.0657181843298683,0.0989455296395986,100,"Simulation 3",1,100,0.540927,0.189535774110527,0.53885,0.5382025,0.21097398,0.091,0.9992,0.9082,0.121142476837065,-0.171271870562746,0.0189535774110527
"X120",3.11091408853504e-06,-1.45401641587348,0.0214566607827303,0.0120831207711187,100,"Simulation 4",1,100,0.5,0.394717495959023,0.5,0.5,0.65545746,1e-04,0.9999,0.9998,-2.21872952137588e-17,-1.71158408945531,0.0394717495959023
"X121",9.09232567190748e-05,-1.45097178169705,0.0251873587423432,0.0143893542966391,100,"Simulation 4",1,100,0.5,0.393840211407129,0.5,0.5,0.65908983,1e-04,0.9999,0.9998,-3.80162760024764e-17,-1.71143891530758,0.0393840211407129
"X122",-0.00100290165853564,-1.56354146988232,0.0377370479606069,0.0210658962033463,100,"Simulation 4",1,100,0.5,0.393068109090318,0.5,0.5,0.64745142,1e-04,0.9999,0.9998,-4.37037052102001e-17,-1.70316572495551,0.0393068109090318
"X123",3.97134335020793e-06,-1.49016781504951,0.0305115075155071,0.0159016567591954,100,"Simulation 4",1,100,0.5,0.397833058231995,0.5,0.5,0.65745897,1e-04,0.9999,0.9998,-1.22254827431709e-17,-1.70497328484673,0.0397833058231995
"X124",-0.00620057778084228,-1.46175890993289,0.0220385636719203,0.0122887793368631,100,"Simulation 4",1,100,0.5,0.395484361769262,0.5,0.5,0.65375247,2e-04,0.9998,0.9996,-3.96824748561742e-17,-1.71259368228939,0.0395484361769262
"X125",-0.0012754962161347,-1.48674558406129,0.0357650721797133,0.0183468850551796,100,"Simulation 4",1,100,0.5,0.398935168019602,0.5,0.5,0.65694006,1e-04,0.9999,0.9998,1.3934566503404e-17,-1.71037830835149,0.0398935168019602
"X126",-3.36595663112929e-06,-1.49856517970655,0.0204999494369892,0.0121866947252065,100,"Simulation 4",1,100,0.5,0.392771137000424,0.5,0.5,0.6545679,2e-04,0.9998,0.9996,-9.57741378885345e-17,-1.7171940427385,0.0392771137000424
