"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1318",0.0195870198592311,-1.55020663830733,0.0204970558460454,0.0325757127363472,99,"Simulation 3",1,99,0.521966666666667,0.214881587705168,0.5084,0.52110987654321,0.24107076,0.0746,0.9223,0.8477,0.0653452932727285,-0.851777299655657,0.0215964121446633
"X1319",-0.00470138139877633,-1.51822569986007,0.0179143856161542,0.0262583897359205,100,"Simulation 3",1,100,0.504759,0.229549140926295,0.51205,0.50106,0.28325073,0.0536,0.9499,0.8963,0.104379324724125,-0.947576419414475,0.0229549140926295
"X1320",0.00300345671866462,-1.54544813309628,0.022492264942804,0.0347288288890912,100,"Simulation 3",1,100,0.519559,0.219427138499551,0.51955,0.51807625,0.25634154,0.1024,0.9755,0.8731,0.0529928784932277,-0.973135850739555,0.0219427138499551
"X1321",-0.0180543572303718,-1.54922334116584,0.0200752867803546,0.0337187775423045,100,"Simulation 3",1,100,0.496084,0.205204302591394,0.4987,0.4914175,0.23261994,0.1087,0.9544,0.8457,0.172459262128113,-0.703518364413179,0.0205204302591394
"X1322",-0.00565761910563197,-1.54689230618752,0.0234293169165559,0.0364906551969774,100,"Simulation 3",1,100,0.509263,0.220220572005304,0.51255,0.5098175,0.26249433,0.106,0.9534,0.8474,-0.0242465679403729,-0.917151248212634,0.0220220572005304
"X1323",0.0045026087458901,-1.49552082895467,0.0147247100022771,0.0218856475991495,100,"Simulation 3",1,100,0.500333,0.215219582984449,0.48565,0.49584375,0.21786807,0.0335,0.9717,0.9382,0.145955719524562,-0.415277697236242,0.0215219582984449
"X1324",-0.00976419395232702,-1.52660863813772,0.0171294465601258,0.0267308038448529,100,"Simulation 3",1,100,0.457775,0.216607357558521,0.4611,0.45414375,0.25389525,0.0744,0.8847,0.8103,0.0635142884711149,-0.933118486575585,0.0216607357558521
"X1325",0.0275396892968303,-1.51947993957773,0.0172519313910977,0.0255175189111143,100,"Simulation 3",1,100,0.503685,0.228792201770316,0.4948,0.49819,0.27079689,0.0618,0.9507,0.8889,0.170706033722449,-0.96458524649121,0.0228792201770316
"X1326",-0.00635343499210469,-1.57457389050218,0.0209322345181475,0.0364249470433432,100,"Simulation 3",1,100,0.4901,0.199551107349582,0.4984,0.49097875,0.22579998,0.0597,0.9083,0.8486,-0.0324866149826525,-0.684370165344554,0.0199551107349582
"X1327",0.00284607474316215,-1.6513480415109,0.0196348439481559,0.0359955143868925,100,"Simulation 3",1,100,0.502209,0.192280312577888,0.4973,0.4981175,0.21490287,0.0965,0.9297,0.8332,0.177131650172349,-0.65122351496069,0.0192280312577888
"X1328",0.0219614175447323,-1.53951036603897,0.0194075617105831,0.0357556192465902,100,"Simulation 3",1,100,0.485236,0.192955389998033,0.4851,0.4907975,0.2157183,0.0981,0.8693,0.7712,-0.189677410032321,-0.835933015526362,0.0192955389998033
"X1329",-0.02376490822846,-1.46750078710767,0.0135724789704685,0.0197794599836495,99,"Simulation 3",1,99,0.48090101010101,0.227973996232362,0.4739,0.485881481481481,0.27961836,0.0221,0.9225,0.9004,-0.134622147829728,-1.01574107861581,0.0229122487109285
"X1330",-0.0384842905424817,-1.51337074079314,0.018693552852857,0.0277092167909375,100,"Simulation 3",1,100,0.480606,0.227830059305686,0.488,0.4811575,0.27813576,0.034,0.9306,0.8966,-0.00686267467091239,-1.05060404542186,0.0227830059305686
"X1331",0.0111913288352072,-1.5901307812766,0.0207583248281374,0.0344265888495596,100,"Simulation 3",1,100,0.506003,0.214538692069635,0.48845,0.506855,0.27487404,0.1045,0.8965,0.792,0.0258954396299357,-1.13989388128885,0.0214538692069635
"X1332",0.00411328700443153,-1.45633274135092,0.016106112064094,0.0251052228732201,100,"Simulation 3",1,100,0.496868,0.213219977402767,0.47345,0.4940575,0.21460635,0.0347,0.9709,0.9362,0.137294127035873,-0.642910877699894,0.0213219977402767
"X1333",-0.0294281927595029,-1.46912378300203,0.0199876109430784,0.030594319004541,100,"Simulation 3",1,100,0.537189,0.214825853782861,0.54235,0.5387525,0.21949893,0.0564,0.9846,0.9282,-0.0634140324251448,-0.763754792138648,0.0214825853782861
"X1334",-0.0380548678447987,-1.55228052705499,0.0201798231276514,0.0331931616369876,100,"Simulation 3",1,100,0.52875,0.207412324668141,0.54715,0.53503625,0.20489532,0.0348,0.9154,0.8806,-0.256670197853954,-0.687262229787802,0.0207412324668141
"X1335",0.00470529771482048,-1.52692731687866,0.0249216829474039,0.0350094262582756,100,"Simulation 3",1,100,0.524955,0.229060046106304,0.52245,0.52857375,0.27657903,0.0168,0.9472,0.9304,-0.120622327997836,-0.825124892982923,0.0229060046106304
"X1336",-0.0297469633586826,-1.5377319910277,0.0176271548900009,0.0281882721301735,100,"Simulation 3",1,100,0.497303,0.216484505454825,0.4922,0.495265,0.2364747,0.103,0.9117,0.8087,0.0594582108377458,-0.879952044248198,0.0216484505454825
"X1337",0.0252680450600527,-1.5072913866192,0.0191175490970342,0.0281193819988239,100,"Simulation 3",1,100,0.526364,0.229882229189143,0.5597,0.5272825,0.24129315,0.0434,0.9463,0.9029,-0.0894379074093361,-1.04568993050233,0.0229882229189143
