"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1287",0.0155386951759313,-1.48593303636696,0.0190864659324246,0.0274211712770756,100,"Simulation 2",1,100,0.547905,0.238036078826787,0.5858,0.55954375,0.28651245,0.0974,0.9342,0.8368,-0.34173526725916,-1.17714536987173,0.0238036078826787
"X1288",0.0206167218066934,-1.54315894153791,0.0285809121093536,0.0405291300284767,100,"Simulation 2",1,100,0.509248,0.244226673350307,0.4957,0.509,0.32083464,0.0783,0.9137,0.8354,0.0485421816954247,-1.37650560115741,0.0244226673350307
"X1289",-0.0762737712242785,-1.58233239832685,0.0312188467301093,0.0410723636790985,100,"Simulation 2",1,100,0.46416,0.260143029423384,0.45705,0.45830875,0.36649872,0.0744,0.9254,0.851,0.161621667815379,-1.48080838345463,0.0260143029423384
"X1290",0.00160160773601249,-1.43849911836549,0.0167922300869409,0.0219381100467466,100,"Simulation 2",1,100,0.521244,0.255498733247171,0.5349,0.52485875,0.2957787,0.0772,0.9231,0.8459,-0.173243119788468,-1.16079206162913,0.0255498733247171
"X1291",-0.00872523133639432,-1.58145139495246,0.0317968845102646,0.0414891246476552,100,"Simulation 2",1,100,0.512999,0.262424716090447,0.5206,0.51366625,0.34522341,0.1157,0.9167,0.801,0.00210720720412671,-1.43932385999514,0.0262424716090447
"X1292",-0.0145535655509026,-1.50981715235103,0.0205566205952745,0.0280926022218058,100,"Simulation 2",1,100,0.508647,0.251880835804264,0.51085,0.510495,0.35093142,0.0588,0.9096,0.8508,-0.0533797744328618,-1.36573189527259,0.0251880835804264
"X1293",-0.0294939453718484,-1.493429122482,0.0223865334800215,0.0279150957844615,100,"Simulation 2",1,100,0.531817,0.268884721667976,0.59425,0.53981375,0.32283615,0.0756,0.9389,0.8633,-0.238598860060624,-1.37312364746397,0.0268884721667976
"X1294",0.0113450245838741,-1.53066558492956,0.0206195377015059,0.0297754882673549,100,"Simulation 2",1,100,0.511331,0.238034567430697,0.504,0.51665625,0.26597844,0.089,0.9383,0.8493,-0.131118120525989,-1.14750318716612,0.0238034567430697
"X1295",-0.017635435136305,-1.553402875505,0.0247250082595397,0.0349468369871552,100,"Simulation 2",1,100,0.481398,0.246626936595631,0.48185,0.48071375,0.33699498,0.0978,0.903,0.8052,0.021403915024576,-1.42738999938449,0.0246626936595631
"X1296",-0.00927225825384698,-1.50740106610326,0.0215973968541766,0.0301793310070768,100,"Simulation 2",1,100,0.493709,0.244738324530384,0.50625,0.49682125,0.30037476,0.0603,0.8951,0.8348,-0.0886719853156139,-1.22350983501627,0.0244738324530384
"X1297",-0.0063925185814561,-1.53939083990857,0.0213232788181738,0.028232028993647,100,"Simulation 2",1,100,0.485293,0.252321048600125,0.47975,0.48334125,0.31942617,0.0705,0.9149,0.8444,0.0501601875028114,-1.16294786180509,0.0252321048600125
"X1298",-0.0127424986669269,-1.52359566232338,0.0232428150857315,0.0316264557379707,100,"Simulation 2",1,100,0.515421,0.250716090104671,0.5414,0.519755,0.31386642,0.0576,0.914,0.8564,-0.127784600971011,-1.2975754712066,0.0250716090104671
"X1299",-0.0227036108897958,-1.53440122823625,0.0207347519058468,0.0260840099678479,100,"Simulation 2",1,100,0.473346,0.268360695920903,0.44465,0.469955,0.35619465,0.0793,0.9135,0.8342,0.089727420540316,-1.4494804890005,0.0268360695920903
"X1300",-0.0199670959759871,-1.54243091494577,0.0199417131170386,0.0260398692445782,100,"Simulation 2",1,100,0.491632,0.262026889236254,0.46585,0.48882125,0.38036103,0.0877,0.9113,0.8236,0.0692339987164633,-1.39917681918935,0.0262026889236254
"X1301",-0.0056357681008172,-1.51719748036295,0.0234370820046357,0.0329403158161685,100,"Simulation 2",1,100,0.502411,0.243854970930417,0.529,0.5028875,0.32758047,0.0919,0.9354,0.8435,-0.0245409125981462,-1.22689895581314,0.0243854970930417
"X1302",0.0053732529857533,-1.50244533162588,0.0236626416141019,0.0309694640923223,100,"Simulation 2",1,100,0.5123,0.255407636154561,0.4998,0.51531625,0.33662433,0.0704,0.9253,0.8549,-0.0485928365477517,-1.21539211781069,0.0255407636154561
"X1303",-0.016643462767941,-1.47639580052115,0.0205523755343492,0.025399918068833,100,"Simulation 2",1,100,0.473812,0.271267173931026,0.48785,0.472475,0.39704028,0.0747,0.9411,0.8664,0.0141281207378622,-1.47891222950734,0.0271267173931026
"X1304",0.0585943242441176,-1.5480619023492,0.0307160346027098,0.039447789524327,100,"Simulation 2",1,100,0.477675,0.263777340437504,0.4545,0.4735775,0.3810282,0.0703,0.911,0.8407,0.131526256110668,-1.38774998047517,0.0263777340437504
"X1305",0.023176659236401,-1.49803650716553,0.0181770932936045,0.0239226800830961,100,"Simulation 2",1,100,0.455164,0.255693104207747,0.38775,0.44397,0.27858054,0.0707,0.921,0.8503,0.361347098241316,-1.23311730327078,0.0255693104207747
"X1306",-0.0157342642850643,-1.45547256942715,0.018203397177811,0.0249150826417011,100,"Simulation 2",1,100,0.520905,0.245082736957431,0.5273,0.52317375,0.32298441,0.0782,0.9425,0.8643,-0.0808810855865261,-1.10188451990121,0.0245082736957431
"X1307",-0.00770202206834038,-1.57046292532755,0.0247635469654612,0.033496888479334,100,"Simulation 2",1,100,0.494438,0.252254123022436,0.5101,0.49578125,0.32594961,0.0737,0.9214,0.8477,-0.0706858771934311,-1.31899627028083,0.0252254123022436
"X1308",-0.00646595679114139,-1.52358721177852,0.017818920236229,0.0251284700789285,100,"Simulation 2",1,100,0.473937,0.240919688473025,0.47845,0.4731825,0.32669091,0.0766,0.908,0.8314,0.0093152722091621,-1.20236470793403,0.0240919688473025
"X1309",0.017068322249407,-1.50967072728347,0.0220268209374236,0.0292995594900385,100,"Simulation 2",1,100,0.532633,0.249367830645025,0.52745,0.53432625,0.31520076,0.0784,0.9347,0.8563,0.0291405551104869,-1.18131288395117,0.0249367830645025
"X1310",-0.0370621220308566,-1.52001632315963,0.0202522878214897,0.0249707981453854,100,"Simulation 2",1,100,0.472961,0.275368084568619,0.48945,0.47168375,0.38970141,0.0691,0.9048,0.8357,0.0183305223948006,-1.60350906762188,0.0275368084568619
"X1311",0.00414498071193613,-1.48333408549054,0.0232751176845685,0.0309952660893093,100,"Simulation 2",1,100,0.486588,0.254610643242825,0.4888,0.48470125,0.32921133,0.0846,0.9299,0.8453,0.0478700026603419,-1.27594343040593,0.0254610643242825
"X1312",-0.00274452620254328,-1.49561711287982,0.0275931201180662,0.0339511611914327,100,"Simulation 2",1,100,0.496235,0.271535051358313,0.4789,0.49399625,0.37457889,0.0738,0.9286,0.8548,0.0652398611857175,-1.38523766949564,0.0271535051358313
"X1313",0.0563244235105973,-1.58213785713789,0.0583043628812722,0.0798273029718501,100,"Simulation 2",1,100,0.522926,0.249018438983011,0.5422,0.52664125,0.32291028,0.0766,0.9146,0.838,-0.098304334751657,-1.25455070321683,0.0249018438983011
"X1314",-0.0213817287997209,-1.54514830731371,0.0274837485195496,0.0365380113893052,100,"Simulation 2",1,100,0.506563,0.25630740683599,0.5121,0.506965,0.33847758,0.0989,0.9281,0.8292,-0.0396725264186492,-1.31958210923928,0.025630740683599
